country,sex,measure,age,HH,HU,HD,UH,UU,UD,version
Italy,female,ADL,113,0.2072,0.4774,0.3154,0.01366,0.4058,0.5805,1
Italy,female,ADL,114,0.1901,0.4827,0.3272,0.01241,0.3874,0.6002,1
Italy,female,ADL,115,0.1741,0.4872,0.3387,0.01126,0.3692,0.6195,1
Italy,female,ADL,116,0.1592,0.4908,0.35,0.0102,0.3514,0.6384,1
Italy,female,ADL,117,0.1453,0.49370000000000003,0.361,0.009221,0.3339,0.6569,1
Italy,female,ADL,118,0.1324,0.4957,0.3719,0.008326,0.3167,0.67490000000000006,1
Italy,female,ADL,119,0.1205,0.4971,0.3825,0.007507,0.3,0.6925,1
Italy,female,ADL,120,0.1095,0.4977,0.3928,0.00676,0.2838,0.7094,1
Italy,female,SRH,50,0.9284,0.07089,6.906e-4,0.293,0.7057,0.001284,1
Italy,female,SRH,51,0.9248,0.07443,7.621e-4,0.2826,0.7159,0.001461,1
Italy,female,SRH,52,0.921,0.07813,0.00084079999999999995,0.2725,0.7259,0.001662,1
Italy,female,SRH,53,0.9171,0.08199,9.275e-4,0.2625,0.7356,0.00189,1
Italy,female,SRH,54,0.9129,0.08603,0.001023,0.2529,0.745,0.002148,1
Italy,female,SRH,55,0.9086,0.09024,0.001128,0.2434,0.7542,0.00244,1
Italy,female,SRH,56,0.9041,0.09464,0.001243,0.2342,0.7631,0.00277,1
Italy,female,SRH,57,0.8994,0.09923,0.00137,0.2252,0.7717,0.003143,1
Italy,female,SRH,58,0.8945,0.104,0.001509,0.2164,0.78,0.003564,1
Italy,female,SRH,59,0.8893,0.109,0.001663,0.2079,0.788,0.00404,1
Italy,female,SRH,60,0.884,0.1142,0.001831,0.1996,0.7958,0.004577,1
Italy,female,SRH,61,0.8784,0.1196,0.002015,0.1916,0.8032,0.005184,1
Italy,female,SRH,62,0.8726,0.1252,0.002218,0.1838,0.8103,0.005868,1
Italy,female,SRH,63,0.8665,0.1311,0.00244,0.1763,0.8171,0.006639,1
Italy,female,SRH,64,0.8602,0.1371,0.002683,0.1689,0.8236,0.007508,1
Italy,female,SRH,65,0.8536,0.1434,0.00295,0.1618,0.8297,0.008486,1
Italy,female,SRH,66,0.8468,0.15,0.003242,0.1549,0.8355,0.009588,1
Italy,female,SRH,67,0.8397,0.1567,0.003561,0.1483,0.8409,0.01083,1
Italy,female,SRH,68,0.8323,0.1638,0.003911,0.1418,0.8459,0.01222,1
Italy,female,SRH,69,0.8247,0.171,0.004293,0.1356,0.8506,0.01379,1
Italy,female,SRH,70,0.8168,0.1785,0.00471,0.1296,0.8548,0.01555,1
Italy,female,SRH,71,0.8086,0.1863,0.005166,0.1238,0.8587,0.01752,1
Italy,female,SRH,72,0.8001,0.1943,0.005662,0.1182,0.8621,0.01974,1
Italy,female,SRH,73,0.7913,0.2025,0.006204,0.1128,0.865,0.02222,1
Italy,female,SRH,74,0.7822,0.211,0.006794,0.1075,0.8675,0.025,1
Italy,female,SRH,75,0.7729,0.2197,0.007437,0.1025,0.8694,0.02812,1
Italy,female,SRH,76,0.7632,0.2287,0.008136,0.0976,0.8708,0.0316,1
Italy,female,SRH,77,0.7532,0.2379,0.008895,0.09289,0.8716,0.03549,1
Italy,female,SRH,78,0.743,0.2473,0.00972,0.08835,0.8718,0.03982,1
Italy,female,SRH,79,0.7324,0.257,0.01062,0.08397,0.8714,0.04466,1
Italy,female,SRH,80,0.7216,0.2668,0.01159,0.07974,0.8702,0.05004,1
Italy,female,SRH,81,0.7105,0.2769,0.01264,0.07565,0.8683,0.05602,1
Italy,female,SRH,82,0.6991,0.2872,0.01378,0.07171,0.8656,0.06266,1
Italy,female,SRH,83,0.6874,0.2976,0.01501,0.06791,0.8621,0.07002,1
Italy,female,SRH,84,0.6754,0.3082,0.01634,0.06424,0.8576,0.07816,1
Italy,female,SRH,85,0.6632,0.319,0.01777,0.0607,0.8522,0.08714,1
Italy,female,SRH,86,0.6508,0.3299,0.01932,0.05728,0.8457,0.09702,1
Italy,female,SRH,87,0.6381,0.3409,0.02098,0.05398,0.8381,0.1079,1
Italy,female,SRH,88,0.6252,0.3521,0.02277,0.05079,0.8294,0.1198,1
Italy,female,SRH,89,0.612,0.3633,0.0247,0.04772,0.8195,0.1328,1
Italy,female,SRH,90,0.5987,0.3745,0.02677,0.04476,0.8083,0.147,1
Italy,female,SRH,91,0.5852,0.3858,0.02898,0.0419,0.7958,0.1623,1
Italy,female,SRH,92,0.5715,0.3972,0.03136,0.03915,0.7819,0.179,1
Italy,female,SRH,93,0.5576,0.4085,0.0339,0.0365,0.7666,0.1969,1
Italy,female,SRH,94,0.5437,0.4197,0.03661,0.03395,0.75,0.2161,1
Italy,female,SRH,95,0.5296,0.4309,0.03951,0.0315,0.7319,0.2366,1
Italy,female,SRH,96,0.5154,0.442,0.04259,0.02916,0.7124,0.2584,1
