sex,measure,age,HH,HU,HD,UH,UU,UD
f,IADL,62,0.9674,0.02726,0.005305,0.3154,0.6533,0.03133
f,IADL,63,0.9657,0.02856,0.00572,0.2994,0.6664,0.03427
f,IADL,64,0.9639,0.02991,0.006168,0.2838,0.6788,0.03745
f,IADL,65,0.962,0.03132,0.00665,0.2687,0.6905,0.04085
f,IADL,66,0.96,0.0328,0.007168,0.254,0.7015,0.04451
f,IADL,67,0.9579,0.03434,0.007727,0.2399,0.7117,0.04844
f,IADL,68,0.9557,0.03595,0.008327,0.2262,0.7212,0.05264
f,IADL,69,0.9534,0.03764,0.008974,0.213,0.7298,0.05714
f,IADL,70,0.9509,0.03939,0.009669,0.2004,0.7377,0.06194
f,IADL,71,0.9484,0.04122,0.01042,0.1883,0.7447,0.06707
f,IADL,72,0.9456,0.04313,0.01122,0.1767,0.7508,0.07253
f,IADL,73,0.9428,0.04513,0.01208,0.1656,0.7561,0.07833
f,IADL,74,0.9398,0.0472,0.01301,0.155,0.7605,0.08451
f,IADL,75,0.9366,0.04936,0.01401,0.1449,0.764,0.09106
f,IADL,76,0.9333,0.05162,0.01508,0.1353,0.7667,0.098
f,IADL,77,0.9298,0.05396,0.01623,0.1262,0.7684,0.1053
f,IADL,78,0.9261,0.0564,0.01746,0.1176,0.7693,0.1131
f,IADL,79,0.9223,0.05894,0.01878,0.1094,0.7692,0.1213
f,IADL,80,0.9182,0.06157,0.0202,0.1017,0.7683,0.13
f,IADL,81,0.914,0.06431,0.02172,0.09446,0.7665,0.139
f,IADL,82,0.9095,0.06715,0.02335,0.0876,0.7638,0.1486
f,IADL,83,0.9048,0.0701,0.02509,0.08114,0.7602,0.1586
f,IADL,84,0.8999,0.07316,0.02696,0.07507,0.7558,0.1692
f,IADL,85,0.8947,0.07633,0.02895,0.06938,0.7505,0.1802
f,IADL,86,0.8893,0.07961,0.03109,0.06404,0.7443,0.1916
f,IADL,87,0.8836,0.08301,0.03337,0.05904,0.73740000000000006,0.2036
f,IADL,88,0.8777,0.08652,0.0358,0.05436,0.7296,0.2161
f,IADL,89,0.8715,0.09014,0.0384,0.05,0.721,0.229
f,IADL,90,0.8649,0.09389,0.04117,0.04593,0.7116,0.2424
f,IADL,91,0.8581,0.09774,0.04413,0.04214,0.7015,0.2563
f,IADL,92,0.851,0.1017,0.04727,0.03861,0.6907,0.2707
f,IADL,93,0.8436,0.1058,0.05062,0.03533,0.6792,0.2855
f,IADL,94,0.8358,0.11,0.05418,0.03229,0.667,0.3007
f,IADL,95,0.8277,0.1143,0.05796,0.02948,0.6542,0.3163
f,IADL,96,0.8193,0.1187,0.06197,0.02687,0.6408,0.3323
f,IADL,97,0.8105,0.1233,0.06623,0.02446,0.6269,0.3487
f,IADL,98,0.8014,0.1279,0.07074,0.02224,0.61240000000000006,0.3653
f,IADL,99,0.7919,0.1326,0.07551,0.0202,0.5975,0.3823
f,IADL,100,0.782,0.1374,0.08055,0.01831,0.5822,0.3995
f,IADL,101,0.7718,0.1423,0.08588,0.01658,0.5665,0.4169
f,IADL,102,0.7612,0.1473,0.0915,0.015,0.5505,0.4345
f,IADL,103,0.7503,0.1523,0.09742,0.01355,0.5342,0.4523
f,IADL,104,0.7389,0.1574,0.1036,0.01222,0.5177,0.4701
f,IADL,105,0.7272,0.1626,0.1102,0.011,0.501,0.488
f,IADL,106,0.7152,0.1678,0.1171,0.009898,0.4843,0.5058
f,IADL,107,0.7028,0.173,0.1243,0.008891,0.4674,0.5237
f,IADL,108,0.69,0.1782,0.1318,0.007977,0.4506,0.5414
f,IADL,109,0.6769,0.1835,0.1397,0.007147,0.4338,0.559
f,IADL,110,0.6634,0.1887,0.1479,0.006395,0.4171,0.5765
m,ADL,50,0.9849,0.01128,0.003806,0.2445,0.732,0.02353
m,ADL,51,0.9839,0.01202,0.004124,0.2417,0.7332,0.02517
m,ADL,52,0.9827,0.0128,0.004467,0.2388,0.7343,0.02691
m,ADL,53,0.9815,0.01364,0.004839,0.2359,0.7353,0.02877
m,ADL,54,0.9802,0.01453,0.005242,0.2331,0.7362,0.03076
m,ADL,55,0.9789,0.01547,0.005677,0.2302,0.7369,0.03288
m,ADL,56,0.9774,0.01648,0.006148,0.2273,0.7375,0.03513
m,ADL,57,0.9758,0.01755,0.006657,0.2245,0.738,0.03753
m,ADL,58,0.9741,0.01868,0.007207,0.2216,0.7383,0.04009
m,ADL,59,0.9723,0.01989,0.007802,0.2187,0.7385,0.04282
m,ADL,60,0.9704,0.02117,0.008445,0.2158,0.7385,0.04572
m,ADL,61,0.9683,0.02253,0.00914,0.2128,0.7384,0.0488
m,ADL,62,0.9661,0.02397,0.00989,0.2099,0.738,0.05208
m,ADL,63,0.9638,0.02551,0.0107,0.207,0.7375,0.05557
m,ADL,64,0.9613,0.02714,0.01157,0.204,0.7367,0.05927
m,ADL,65,0.9586,0.02886,0.01252,0.201,0.7358,0.0632
m,ADL,66,0.9558,0.03069,0.01354,0.198,0.7346,0.06737
m,ADL,67,0.9527,0.03263,0.01464,0.195,0.7332,0.07179
m,ADL,68,0.9495,0.03468,0.01582,0.192,0.7315,0.07648
