age,HH,HU,HD,UH,UU,UD
50,0.96337841,0.035933789999999986,6.878e-4,0.15521077000000003,0.83406065,0.01072858
51,0.9619407899999999,0.037282909999999995,7.762999999999996e-4,0.15460689154606896,0.8337953983379539,0.011597710115977098
52,0.9604436296044363,0.03868020038680201,8.761700087617007e-4,0.15399414000000008,0.8334695,0.012536360000000005
53,0.95888397,0.04012715,9.888800000000004e-4,0.15337177,0.83307829,0.013549940000000005
54,0.9572586604274134,0.0416252595837474,0.0011160799888392007,0.15273898847261017,0.8326167616738324,0.01464424985355751
55,0.95556434,0.04317605000000002,0.00125961,0.15209493,0.83207956,0.01582551
56,0.9537973595379736,0.044781070447810704,0.0014215700142157003,0.15143869,0.8314609000000001,0.017100410000000003
57,0.9519538095195381,0.04644186046441861,0.0016043300160433,0.15076929150769297,0.8307546183075462,0.018476090184760905
58,0.95002949,0.04815997000000002,0.0018105400000000013,0.15008571000000007,0.8299541,0.019960190000000006
59,0.94801985,0.049936940000000006,0.0020432100000000006,0.14938683,0.8290522800000001,0.02156089
60,0.9459199905408001,0.0517743094822569,0.0023056999769430014,0.14867149000000002,0.82804161,0.0232869
61,0.9437246,0.05367358,0.00260182,0.14793843852061564,0.8269140317308596,0.02514752974852471
62,0.9414279094142791,0.055636230556362305,0.0029358600293586004,0.14718635,0.82566096,0.027152689999999997
63,0.93902364,0.05766371000000002,0.0033126500000000003,0.14641384000000005,0.82427324,0.029312920000000006
64,0.9365050099999999,0.059757369999999976,0.0037376199999999984,0.14561940999999998,0.82274115,0.03163943999999999
65,0.93386459,0.06191854000000001,0.00421687,0.14480151000000002,0.8210543800000001,0.03414411
66,0.93109432,0.0641484,0.00475728,0.1439585,0.81920199,0.036839509999999985
67,0.9281853792818539,0.06644805066448049,0.005366570053665699,0.14308864,0.81717242,0.039738940000000014
68,0.9251281307487187,0.06881843931181564,0.006053429939465705,0.14219010999999998,0.8149534700000001,0.04285642
69,0.9219120807808792,0.07126032928739676,0.0068275899317241035,0.14126102000000001,0.8125323000000001,0.04620668
70,0.9185257391852575,0.07377428073774277,0.007699980076999797,0.14029938,0.80989539,0.049805230000000006
