sex,age,HH,HU,HD,UH,UU,UD
m,50,0.9905857551404598,0.004390656444196839,0.0050235884153433654,0.3552673081820832,0.5335726522628218,0.11116003955509408
m,51,0.9897381263353605,0.004805443867043927,0.005456429797595123,0.344894837847878,0.540846314874559,0.1142588472775633
m,52,0.9888155355271243,0.005257906470083518,0.005926558002792577,0.3347137407126751,0.5478762359111631,0.11741002337616213
m,53,0.9878115084508072,0.005751326154573733,0.00643716539461949,0.3247260676526199,0.5546599755383143,0.12061395680906598
m,54,0.986719032138032,0.006289255600678047,0.0069917122612899296,0.31493339509963714,0.5611955551601072,0.12387104974025584
m,55,0.9855305133445298,0.0068755385189887145,0.007593948136481797,0.30533684781154646,0.5674814348831541,0.12718171730529926
m,56,0.9842377343519645,0.007514331064607676,0.008247934583428589,0.2959371218282101,0.5735164908695306,0.13054638730226042
m,57,0.9828318060917776,0.008210124412463856,0.008958069495758746,0.286734507480534,0.5792999927120753,0.1339654998073908
m,58,0.9813031185643014,0.008967768475547143,0.009729112960151564,0.2777289123340298,0.5848315809511433,0.1374395067148274
m,59,0.9796412885589733,0.009792496726625376,0.010566214714402219,0.26891988396309496,0.5901112448378657,0.14096887119904
m,60,0.977835104722484,0.0106899520580549,0.011474943219461598,0.2603066324661734,0.5951393004355942,0.14455406709823215
m,61,0.9758724700725806,0.011666213582668606,0.012461316344751205,0.2518880526454153,0.5999163691382914,0.14819557821629337
m,62,0.9737403421177542,0.012727824240489113,0.013531833641757134,0.2436627457873638,0.604443356672409,0.15189389754022817
m,63,0.9714246708192124,0.01388181903011234,0.014693510150674743,0.235629040993528,0.608721432637211,0.15564952636926108
m,64,0.968910334723468,0.015135753628857322,0.015953911647676157,0.22778501602144416,0.6127520106275443,0.15946297335101225
m,65,0.9661810757040796,0.016497733100876336,0.01732119119504412,0.22012851760796914,0.616536728972765,0.1633347534192667
m,66,0.9632194328824061,0.017976440315935534,0.01880412680165854,0.21265718125713662,0.6200774321159319,0.16726538662693016
m,67,0.9600066764523452,0.0195811636119635,0.020412159935691638,0.20536845048487762,0.6233761526483647,0.17125539686675695
m,68,0.9565227423166291,0.021321823130082216,0.022155434553288438,0.19825959552234879,0.6264350940062855,0.17530531047136544
m,69,0.9527461686552618,0.02320899512996801,0.02404483621476969,0.19132773148848667,0.6292566138285797,0.17941565468293486
m,70,0.9486540357940144,0.02525393345430319,0.026092030751682697,0.18456983605072014,0.6318432079674863,0.18358695598179375
m,71,0.9442219110259664,0.027468587152079674,0.028309501821952666,0.17798276660056295,0.6341974951375398,0.18781973826189774
m,72,0.9394238003654084,0.02986561309004334,0.030710586544547808,0.171563276978009,0.6363222021820428,0.19211452083994784
m,73,0.9342321095840659,0.03245838217832195,0.033309508237612445,0.16530803378528833,0.6382201499310378,0.1964718162836746
m,74,0.9286176172973487,0.03526097760938942,0.036121405093262164,0.159213632336535,0.6398942396198692,0.2008921280435968
m,75,0.9225494633344604,0.03828818325875197,0.03916235340678745,0.15327661229521447,0.6413474398333425,0.20537594787144303
m,76,0.9159951561412059,0.041555460121794084,0.042449383737000704,0.14749347305566385,0.6425827739369224,0.2099237530074134
m,77,0.9089206035261981,0.04507890836605553,0.04600048810774605,0.1418606889286805,0.6436033079536679,0.21453600311765147
m,78,0.9012901716654107,0.04887521226550072,0.04983461606908883,0.13637472419359797,0.6444121388436467,0.21921313696275563
m,79,0.8930667779182409,0.052961564958984735,0.05397165712277542,0.13103204808047245,0.6450123831415253,0.2239555687780035
m,80,0.8842120236676271,0.057355569647887,0.0584324066844869,0.1258291497456448,0.6454071659080625,0.22876368434629302
m,81,0.8746863740579023,0.06207511353012439,0.06323851241197262,0.12076255330168535,0.645599609952522,0.233637836745793
m,82,0.8644493921404656,0.06713821047626284,0.06841239738327146,0.11582883295820554,0.6455928252857128,0.238578341756082
m,83,0.8534600355128834,0.072562808210358,0.073977156276757855,0.11102462832278799,0.6453898987678243,0.24358547290938834
m,84,0.8416770240047513,0.07836655559194766,0.07995642040330217,0.10634665990081954,0.6449938839215967,0.24865945617758428
m,85,0.829059287263248,0.08456652554207224,0.08637418719467999,0.10179174481873987,0.6444077908900899,0.2538004642911701
m,86,0.8155665011483143,0.0911788892593292,0.09325460959235685,0.09735681277651922,0.6436345765296555,0.259008610693826
m,87,0.8011597215702198,0.09821853768464765,0.10062174074513303,0.09303892221136575,0.6426771346430855,0.26428394314554904
m,88,0.785802123683026,0.10569864675782706,0.10849922955914677,0.08883527662508742,0.6415382863756804,0.26962643699923244
m,89,0.7694598530601635,0.11363018393584859,0.11690996300398901,0.08474324099150835,0.6402207708184121,0.2750359881900801
m,90,0.7521029934820206,0.12202135479113423,0.12587565172684642,0.08076035811733125,0.6387272358878952,0.28051240599477467
m,91,0.7337066531068539,0.13087699036086387,0.13541635653228254,0.07688436477940991,0.6370602295825503,0.28605540563804
m,92,0.7142521669167974,0.14019787836040504,0.14554995472279852,0.07311320740339834,0.6352221917483012,0.2916646008483004
m,93,0.6937284082770016,0.1499800444831273,0.15629154723987126,0.0694450569833858,0.6332154465251073,0.2973394964915067
m,94,0.6721331960847701,0.16021399384822252,0.16765281006700844,0.06587832287014185,0.63104219568719,0.30307948144266894
m,95,0.6494747762250328,0.17088392726235202,0.17964129651261582,0.062411664978385545,0.628704513133904,0.3088838218877121
m,96,0.62577334686530794,0.18196695232042445,0.19225970081426788,0.059044003883359106,0.6262043408335358,0.3147516552831055
m,97,0.6010625865957091,0.19343231541177824,0.20550509799251304,0.05577452819726642,0.6235434865666926,0.3206819852360411
